City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ardahan,TR,41.1087,42.7022,41.43,93,1,3.18,clear sky
80,Tabas,IR,33.5959,56.9244,82.62,14,0,3.04,clear sky
81,Inhambane,MZ,-23.865,35.3833,73.38,88,20,9.22,few clouds
82,Ancud,CL,-41.8697,-73.8203,56.73,58,84,5.68,broken clouds
83,Berlevag,NO,70.8578,29.0864,55.4,54,0,18.41,clear sky
84,Nikolskoye,RU,59.7035,30.7861,49.87,74,100,3.44,overcast clouds
85,Anadyr,RU,64.75,177.4833,28.35,62,97,21.7,overcast clouds
86,Watsa,CD,3.0372,29.5355,64.4,97,77,2.71,light rain
87,Stonewall,CA,50.1344,-97.3268,82.98,27,50,8.46,scattered clouds
88,Acapulco,MX,16.8634,-99.8901,84.9,66,70,4.03,broken clouds
89,Praia,CV,14.9215,-23.5087,84.74,65,0,11.5,clear sky
90,Butaritari,KI,3.0707,172.7902,83.12,77,10,23.94,clear sky
91,Copiapo,CL,-27.3667,-70.3333,58.69,21,12,9.62,few clouds
92,Xichang,CN,27.8964,102.2634,60.15,89,20,1.9,few clouds
93,Lompoc,US,34.6391,-120.4579,77.85,56,1,13.8,clear sky
94,Ngunguru,NZ,-35.6167,174.5,45.16,74,6,7.9,clear sky
95,Upernavik,GL,72.7868,-56.1549,26.98,53,30,5.7,scattered clouds
96,Kamina,CD,-8.7386,24.9906,70.72,59,11,3.38,few clouds
97,Guarapari,BR,-20.6667,-40.4975,80.91,73,0,15.86,clear sky
98,Mitsamiouli,KM,-11.3847,43.2844,77.92,79,5,6.26,clear sky
99,Vardo,NO,70.3705,31.1107,52.0,71,0,18.41,clear sky
100,Fairbanks,US,64.8378,-147.7164,29.23,82,40,0.0,scattered clouds
101,Hambantota,LK,6.1241,81.1185,79.14,89,75,10.36,broken clouds
102,Shouguang,CN,36.88,118.7375,61.72,91,0,2.8,light rain
103,Tuatapere,NZ,-46.1333,167.6833,42.82,93,50,6.06,scattered clouds
104,Quelimane,MZ,-17.8786,36.8883,77.02,75,0,9.46,clear sky
105,Tura,IN,25.5198,90.2201,72.73,95,100,4.38,light rain
106,Hermanus,ZA,-34.4187,19.2345,59.9,83,62,7.38,broken clouds
107,Saint Anthony,US,45.0205,-93.218,81.66,49,1,1.99,clear sky
108,Yellowknife,CA,62.456,-114.3525,48.42,100,90,8.01,light rain
109,Mangrol,IN,21.1167,70.1167,77.45,95,100,10.58,heavy intensity rain
110,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,78,6,16.2,clear sky
111,Kavieng,PG,-2.5744,150.7967,81.39,78,87,10.2,overcast clouds
112,Marzuq,YE,14.4,46.4667,80.44,42,97,7.92,overcast clouds
113,Vestmannaeyjar,IS,63.4427,-20.2734,38.52,72,100,34.96,overcast clouds
114,Itainopolis,BR,-7.4469,-41.4783,100.29,16,7,9.53,clear sky
115,Port-Gentil,GA,-0.7193,8.7815,77.56,84,37,13.82,scattered clouds
116,Mareeba,AU,-17.0,145.4333,70.52,95,100,4.9,overcast clouds
