City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Chabahar,IR,84.07,overcast clouds,25.2919,60.643,هتل گدروشیا
334,Keti Bandar,PK,87.19,broken clouds,24.1447,67.4497,Haji laloo memon house
340,Atlantic City,US,83.01,few clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
341,Tual,ID,80.83,few clouds,-5.6667,132.75,Grand Vilia Hotel
342,Kousseri,CM,84.4,light rain,12.0769,15.0306,Le Pilotis
344,Harper,LR,77.67,overcast clouds,4.375,-7.7169,Screensaver
350,Bogale,MM,76.42,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
355,Banda Aceh,ID,77.47,overcast clouds,5.5577,95.3222,Sulthan Hotel International
358,Babu,CN,83.12,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
362,Kolokani,ML,84.61,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
364,Jieshi,CN,79.34,clear sky,22.8134,115.8257,Yuehai Hotel
367,Lahan,NP,78.24,overcast clouds,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
369,Boa Vista,BR,94.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
372,Pafos,CY,75.11,overcast clouds,34.7667,32.4167,Elysium Hotel
374,Humaita,BR,92.48,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
380,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
383,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
384,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
385,Chishtian Mandi,PK,85.35,clear sky,29.8,72.8667,Boys Hostel
